baseline,scenario_name,algorithm,size,optimizer,annealings,iterations,status,score,evaluation,exec_time,total_cost,max_time
qb-nonlinear,scenario2,qft,8,nonlinear,10,40,solution_found,-253.86530889865392,-253.86530889865392,21.409942839294672,253.86530889865392,754.72
qb-nonlinear,scenario3,qnn,10,nonlinear,10,40,solution_found,254.65000000000003,254.65000000000003,16.355033461004496,293.27023151855076,254.65000000000003
qb-nonlinear,scenario2,qnn,6,nonlinear,10,40,solution_found,-363.7703088679408,-363.7703088679408,21.303188480436802,363.7703088679408,1084.6200000000001
qb-linear,scenario3,realamprandom,8,linear,-,-,solution_found,265.6,229.51999999999998,0.015602322295308113,200.07617253840908,229.51999999999998
qb-nonlinear,scenario3,wstate,6,nonlinear,10,40,solution_found,854.45,854.45,18.427909845486283,1073.5790861135722,854.45
qb-nonlinear,scenario3,ghz,6,nonlinear,10,40,solution_found,495.80999999999995,495.80999999999995,15.926867606118321,619.0330635387812,495.80999999999995
qb-nonlinear,scenario2,dj,6,nonlinear,10,40,solution_found,-574.9004275287755,-574.9004275287755,22.703280709683895,574.9004275287755,1506.62
qb-nonlinear,scenario3,qpeexact,6,nonlinear,10,40,solution_found,492.47,492.47,17.26550276391208,618.5646453038272,492.47
qb-linear,scenario2,vqe,6,linear,-,-,solution_found,-881.3454744713816,-251.3387501360923,0.016793284565210342,251.3387501360923,849.32
qb-linear,scenario1,qft,10,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.019987288862466812,171.90508827040702,294.15999999999997
qb-nonlinear,scenario3,qpeexact,10,nonlinear,10,40,solution_found,674.6,674.6,18.90699204057455,851.1586332615602,674.6
qb-linear,scenario1,realamprandom,6,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.02013220638036728,171.90508827040702,294.15999999999997
qb-linear,scenario3,realamprandom,6,linear,-,-,solution_found,265.6,229.51999999999998,0.016272012144327164,200.07617253840908,229.51999999999998
qb-nonlinear,scenario1,qpeexact,10,nonlinear,10,40,no_backends_available,-,-,-,-,-
qb-linear,scenario1,qft,6,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.02018285170197487,171.90508827040702,294.15999999999997
qb-linear,scenario2,qaoa,10,linear,-,-,solution_found,-1729.159105335793,-657.0218393686228,0.01703893207013607,657.0218393686228,1338.1200000000001
qb-nonlinear,scenario1,vqe,8,nonlinear,10,40,solution_found,200.33053481882393,200.33053481882393,23.61820533312857,205.56106963764785,195.1
qb-nonlinear,scenario3,qnn,8,nonlinear,10,40,solution_found,254.87,254.87,16.315343532711267,292.6152067501415,254.87
qb-nonlinear,scenario2,twolocalrandom,10,nonlinear,10,40,solution_found,-253.7633856697817,-253.7633856697817,22.135907588526607,253.7633856697817,738.72
qb-nonlinear,scenario1,dj,10,nonlinear,10,40,solution_found,470.1654460398546,470.1654460398546,18.820523308590055,477.26089207970927,463.07
qb-nonlinear,scenario3,vqe,8,nonlinear,10,40,solution_found,195.32999999999998,195.32999999999998,15.571345442906022,204.9788149755953,195.32999999999998
qb-linear,scenario3,vqe,6,linear,-,-,solution_found,265.6,229.51999999999998,0.01569012738764286,200.07617253840908,229.51999999999998
qb-linear,scenario1,twolocalrandom,10,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.020253702998161316,171.90508827040702,294.15999999999997
qb-linear,scenario3,vqe,8,linear,-,-,solution_found,265.6,229.51999999999998,0.01804104447364807,200.07617253840908,229.51999999999998
qb-nonlinear,scenario3,vqe,10,nonlinear,10,40,solution_found,195.72000000000003,195.72000000000003,15.82978063635528,205.99307938891897,195.72000000000003
qb-nonlinear,scenario2,wstate,10,nonlinear,10,40,no_backends_available,-,-,-,-,-
qb-linear,scenario3,wstate,6,linear,-,-,solution_found,2303.03,2189.7700000000004,0.020686659961938858,754.1418621746099,2189.7700000000004
qb-linear,scenario1,qpeexact,6,linear,-,-,no_solution_found,-,-,0.01364276371896267,-,-
qb-linear,scenario2,qft,8,linear,-,-,solution_found,-881.3454744713816,-251.3387501360923,0.017505867406725883,251.3387501360923,849.32
qb-linear,scenario1,realamprandom,10,linear,-,-,solution_found,418.6786413938874,233.0325441352035,0.021778251975774765,171.90508827040702,294.15999999999997
qb-linear,scenario3,twolocalrandom,6,linear,-,-,solution_found,265.6,229.51999999999998,0.018082719296216965,200.07617253840908,229.51999999999998
qb-nonlinear,scenario1,dj,8,nonlinear,10,40,solution_found,474.02433672809764,474.02433672809764,18.022076522931457,475.47867345619534,472.57
qb-nonlinear,scenario2,qnn,10,nonlinear,10,40,solution_found,-365.40115109907816,-365.40115109907816,22.560984263196588,365.40115109907816,1106.22
qb-linear,scenario3,qft,8,linear,-,-,solution_found,265.6,229.51999999999998,0.0171671099960804,200.07617253840908,229.51999999999998
qb-nonlinear,scenario3,qpeexact,8,nonlinear,10,40,solution_found,673.29,673.29,18.26255202293396,851.3972384069934,673.29
qb-linear,scenario2,qpeexact,6,linear,-,-,solution_found,-1917.7313161963475,-745.2467187855067,0.011899737641215324,745.2467187855067,1369.92
qb-nonlinear,scenario3,realamprandom,10,nonlinear,10,40,solution_found,196.08,196.08,15.901746964082122,204.25622837610177,196.08
qb-linear,scenario1,wstate,8,linear,-,-,no_backends_available,-,-,-,-,-
qb-linear,scenario1,dj,6,linear,-,-,solution_found,856.9517614238332,491.0464963608674,0.039438528940081596,471.0529927217349,511.04
all_fez,scenario1,qnn,10,-,-,-,-,-,810.465806011304,-,362.01161202260806,1258.92
all_fez,scenario2,qnn,10,-,-,-,-,-,-362.01161202260806,-,362.01161202260806,1258.92
all_fez,scenario3,qnn,10,-,-,-,-,-,1258.92,-,362.01161202260806,1258.92
all_sherbrooke,scenario1,vqe,6,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario2,vqe,6,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001
all_sherbrooke,scenario3,vqe,6,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001
all_torino,scenario1,qaoa,8,-,-,-,-,-,923.4547322237238,-,543.0094644474474,1303.9
all_torino,scenario2,qaoa,8,-,-,-,-,-,-543.0094644474474,-,543.0094644474474,1303.9
all_torino,scenario3,qaoa,8,-,-,-,-,-,1303.9,-,543.0094644474474,1303.9
all_fez,scenario1,dj,8,-,-,-,-,-,1325.7028500902884,-,573.285700180577,2078.12
all_fez,scenario2,dj,8,-,-,-,-,-,-573.285700180577,-,573.285700180577,2078.12
all_fez,scenario3,dj,8,-,-,-,-,-,2078.12,-,573.285700180577,2078.12
all_kyiv,scenario1,twolocalrandom,10,-,-,-,-,-,356.9350188137996,-,132.26003762759927,581.6099999999999
all_kyiv,scenario2,twolocalrandom,10,-,-,-,-,-,-132.26003762759927,-,132.26003762759927,581.6099999999999
all_kyiv,scenario3,twolocalrandom,10,-,-,-,-,-,581.6099999999999,-,132.26003762759927,581.6099999999999
all_kyiv,scenario1,qaoa,10,-,-,-,-,-,960.0547247570753,-,355.45944951415066,1564.6499999999999
all_kyiv,scenario2,qaoa,10,-,-,-,-,-,-355.45944951415066,-,355.45944951415066,1564.6499999999999
all_kyiv,scenario3,qaoa,10,-,-,-,-,-,1564.6499999999999,-,355.45944951415066,1564.6499999999999
fair,scenario1,twolocalrandom,6,-,-,-,-,-,223.22375348793224,-,197.5775069758645,248.87
fair,scenario2,twolocalrandom,6,-,-,-,-,-,-197.5775069758645,-,197.5775069758645,248.87
fair,scenario3,twolocalrandom,6,-,-,-,-,-,248.87,-,197.5775069758645,248.87
all_marrakesh,scenario1,qft,8,-,-,-,-,-,455.8634975119044,-,171.32699502380885,740.4
all_marrakesh,scenario2,qft,8,-,-,-,-,-,-171.32699502380885,-,171.32699502380885,740.4
all_marrakesh,scenario3,qft,8,-,-,-,-,-,740.4,-,171.32699502380885,740.4
all_kyiv,scenario1,dj,10,-,-,-,-,-,810.279857680378,-,301.669715360756,1318.8899999999999
all_kyiv,scenario2,dj,10,-,-,-,-,-,-301.669715360756,-,301.669715360756,1318.8899999999999
all_kyiv,scenario3,dj,10,-,-,-,-,-,1318.8899999999999,-,301.669715360756,1318.8899999999999
all_sherbrooke,scenario1,qaoa,6,-,-,-,-,-,1383.9175837438736,-,225.16516748774657,2542.6700000000005
all_sherbrooke,scenario2,qaoa,6,-,-,-,-,-,-225.16516748774657,-,225.16516748774657,2542.6700000000005
all_sherbrooke,scenario3,qaoa,6,-,-,-,-,-,2542.6700000000005,-,225.16516748774657,2542.6700000000005
all_fez,scenario1,qaoa,8,-,-,-,-,-,1581.613935395216,-,675.5078707904318,2487.7200000000003
all_fez,scenario2,qaoa,8,-,-,-,-,-,-675.5078707904318,-,675.5078707904318,2487.7200000000003
all_fez,scenario3,qaoa,8,-,-,-,-,-,2487.7200000000003,-,675.5078707904318,2487.7200000000003
all_marrakesh,scenario1,dj,8,-,-,-,-,-,1057.1213214986021,-,390.8026429972043,1723.44
all_marrakesh,scenario2,dj,8,-,-,-,-,-,-390.8026429972043,-,390.8026429972043,1723.44
