scenario_name,algorithm,size,annealings,iterations,status,evaluation,exec_time
scenario3,qnn,8,30,20,solution_found,255.42000000000004,23.719271248206496
scenario1,qaoa,6,10,50,solution_found,576.066906183321,13.133387297391891
scenario2,qaoa,10,5,25,solution_found,668.8441558544268,8.13693531602621
scenario1,twolocalrandom,6,10,50,solution_found,200.16271639462715,29.50736978650093
scenario1,qaoa,10,10,10,solution_found,576.5175991689898,3.0328996274620295
scenario1,qft,6,15,30,solution_found,201.07501044937453,26.303587954491377
scenario3,dj,6,25,40,solution_found,376.57,41.92449218779802
scenario3,vqe,8,10,15,solution_found,200.37,6.088840939104557
scenario3,qft,8,30,1,solution_found,211.41,2.045635038986802
scenario2,twolocalrandom,6,10,40,solution_found,253.59919987188076,21.666242884472013
scenario1,qnn,6,20,5,solution_found,280.7549033715676,6.808199556544423
scenario3,vqe,10,20,10,solution_found,198.72000000000003,8.465785149484873
scenario1,twolocalrandom,10,25,55,solution_found,200.13161379263835,81.6538219768554
scenario2,qft,10,15,10,solution_found,248.6279195920936,8.862634871155024
scenario1,qaoa,10,15,50,solution_found,574.9061382695347,20.605092139914632
scenario2,qnn,8,30,30,solution_found,365.8377754761214,49.33538603968918
scenario1,twolocalrandom,6,15,5,solution_found,207.40648449869005,5.358900072053075
scenario2,vqe,8,10,5,solution_found,249.44236444567147,3.0589195284992456
scenario3,qaoa,8,25,5,solution_found,452.5200000000001,6.418392460793257
scenario2,realamprandom,10,1,45,solution_found,250.59345958661953,2.9273841083049774
scenario2,realamprandom,8,1,10,solution_found,244.3242196103388,0.7574311811476946
scenario3,dj,10,1,20,solution_found,380.07,1.859050052240491
scenario3,vqe,6,15,45,solution_found,194.73000000000002,25.32617705501616
scenario2,qnn,6,20,1,solution_found,327.26978464465856,1.8513510655611753
scenario2,dj,10,15,40,solution_found,577.0616423728952,38.57144387997687
scenario3,dj,6,1,35,solution_found,389.44000000000005,1.751784099265933
scenario3,dj,6,30,45,solution_found,373.28999999999996,56.04067347943783
scenario1,qnn,6,25,15,solution_found,275.50926736550014,22.853810673579574
scenario1,qft,10,20,55,solution_found,200.40026189942054,65.62456391565502
scenario3,vqe,10,15,45,solution_found,195.6,26.651233308017254
