baseline,scenario_name,algorithm,size,optimizer,annealings,iterations,status,score,evaluation,exec_time,total_cost,max_time,min_fidelity
all_kyiv,scenario2,dj,10,-,-,-,-,-,-301.669715360756,-,301.669715360756,1318.8899999999999,0.8997
all_kyiv,scenario3,dj,10,-,-,-,-,-,1318.8899999999999,-,301.669715360756,1318.8899999999999,0.8997
all_sherbrooke,scenario1,qaoa,6,-,-,-,-,-,1383.9175837438736,-,225.16516748774657,2542.6700000000005,0.9037
all_sherbrooke,scenario2,qaoa,6,-,-,-,-,-,-225.16516748774657,-,225.16516748774657,2542.6700000000005,0.9037
all_sherbrooke,scenario3,qaoa,6,-,-,-,-,-,2542.6700000000005,-,225.16516748774657,2542.6700000000005,0.9037
all_fez,scenario1,qaoa,8,-,-,-,-,-,1581.613935395216,-,675.5078707904318,2487.7200000000003,0.8917
all_fez,scenario2,qaoa,8,-,-,-,-,-,-675.5078707904318,-,675.5078707904318,2487.7200000000003,0.8917
all_fez,scenario3,qaoa,8,-,-,-,-,-,2487.7200000000003,-,675.5078707904318,2487.7200000000003,0.8917
all_marrakesh,scenario1,dj,8,-,-,-,-,-,1057.1213214986021,-,390.8026429972043,1723.44,0.9494
all_marrakesh,scenario2,dj,8,-,-,-,-,-,-390.8026429972043,-,390.8026429972043,1723.44,0.9494
all_marrakesh,scenario3,dj,8,-,-,-,-,-,1723.44,-,390.8026429972043,1723.44,0.9494
fair,scenario1,qnn,6,-,-,-,-,-,307.64752698322064,-,284.52505396644125,330.77000000000004,0.9375
fair,scenario2,qnn,6,-,-,-,-,-,-284.52505396644125,-,284.52505396644125,330.77000000000004,0.9375
fair,scenario3,qnn,6,-,-,-,-,-,330.77000000000004,-,284.52505396644125,330.77000000000004,0.9375
all_torino,scenario1,dj,8,-,-,-,-,-,779.9702499011266,-,460.84049980225325,1099.1,0.9246
all_torino,scenario2,dj,8,-,-,-,-,-,-460.84049980225325,-,460.84049980225325,1099.1,0.9246
all_torino,scenario3,dj,8,-,-,-,-,-,1099.1,-,460.84049980225325,1099.1,0.9246
all_kyiv,scenario1,dj,6,-,-,-,-,-,810.279857680378,-,301.669715360756,1318.8899999999999,0.8997
all_kyiv,scenario2,dj,6,-,-,-,-,-,-301.669715360756,-,301.669715360756,1318.8899999999999,0.8997
all_kyiv,scenario3,dj,6,-,-,-,-,-,1318.8899999999999,-,301.669715360756,1318.8899999999999,0.8997
all_sherbrooke,scenario1,vqe,10,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001,0.9671
all_sherbrooke,scenario2,vqe,10,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001,0.9671
all_sherbrooke,scenario3,vqe,10,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001,0.9671
all_fez,scenario1,twolocalrandom,10,-,-,-,-,-,550.3293750680461,-,251.3387501360923,849.32,0.9632
all_fez,scenario2,twolocalrandom,10,-,-,-,-,-,-251.3387501360923,-,251.3387501360923,849.32,0.9632
all_fez,scenario3,twolocalrandom,10,-,-,-,-,-,849.32,-,251.3387501360923,849.32,0.9632
all_kyiv,scenario1,qnn,8,-,-,-,-,-,508.93323276830154,-,190.49646553660313,827.37,0.9395
all_kyiv,scenario2,qnn,8,-,-,-,-,-,-190.49646553660313,-,190.49646553660313,827.37,0.9395
all_kyiv,scenario3,qnn,8,-,-,-,-,-,827.37,-,190.49646553660313,827.37,0.9395
all_sherbrooke,scenario1,qaoa,10,-,-,-,-,-,1383.9175837438736,-,225.16516748774657,2542.6700000000005,0.9037
all_sherbrooke,scenario2,qaoa,10,-,-,-,-,-,-225.16516748774657,-,225.16516748774657,2542.6700000000005,0.9037
all_sherbrooke,scenario3,qaoa,10,-,-,-,-,-,2542.6700000000005,-,225.16516748774657,2542.6700000000005,0.9037
fair,scenario1,vqe,8,-,-,-,-,-,223.22375348793224,-,197.5775069758645,248.87,0.9564
fair,scenario2,vqe,8,-,-,-,-,-,-197.5775069758645,-,197.5775069758645,248.87,0.9564
fair,scenario3,vqe,8,-,-,-,-,-,248.87,-,197.5775069758645,248.87,0.9564
all_sherbrooke,scenario1,qnn,10,-,-,-,-,-,717.2680593381644,-,120.66611867632884,1313.8700000000001,0.9514
all_sherbrooke,scenario2,qnn,10,-,-,-,-,-,-120.66611867632884,-,120.66611867632884,1313.8700000000001,0.9514
all_sherbrooke,scenario3,qnn,10,-,-,-,-,-,1313.8700000000001,-,120.66611867632884,1313.8700000000001,0.9514
fair,scenario1,dj,10,-,-,-,-,-,472.5403314970734,-,450.5106629941468,494.57,0.8985
fair,scenario2,dj,10,-,-,-,-,-,-450.5106629941468,-,450.5106629941468,494.57,0.8985
fair,scenario3,dj,10,-,-,-,-,-,494.57,-,450.5106629941468,494.57,0.8985
all_sherbrooke,scenario1,twolocalrandom,8,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001,0.9671
all_sherbrooke,scenario2,twolocalrandom,8,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001,0.9671
all_sherbrooke,scenario3,twolocalrandom,8,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001,0.9671
all_sherbrooke,scenario1,qft,8,-,-,-,-,-,494.0224909443676,-,83.77498188873506,904.2700000000001,0.9671
all_sherbrooke,scenario2,qft,8,-,-,-,-,-,-83.77498188873506,-,83.77498188873506,904.2700000000001,0.9671
all_sherbrooke,scenario3,qft,8,-,-,-,-,-,904.2700000000001,-,83.77498188873506,904.2700000000001,0.9671
all_kyiv,scenario1,dj,8,-,-,-,-,-,810.279857680378,-,301.669715360756,1318.8899999999999,0.8997
all_kyiv,scenario2,dj,8,-,-,-,-,-,-301.669715360756,-,301.669715360756,1318.8899999999999,0.8997
all_kyiv,scenario3,dj,8,-,-,-,-,-,1318.8899999999999,-,301.669715360756,1318.8899999999999,0.8997
all_kyiv,scenario1,qft,8,-,-,-,-,-,356.9350188137996,-,132.26003762759927,581.6099999999999,0.9592
all_kyiv,scenario2,qft,8,-,-,-,-,-,-132.26003762759927,-,132.26003762759927,581.6099999999999,0.9592
all_kyiv,scenario3,qft,8,-,-,-,-,-,581.6099999999999,-,132.26003762759927,581.6099999999999,0.9592
